Tweet;Modulo;Data
"🤖 A previsão do tempo hoje em Ilhéus (BA) é de muito sol 🌤, com uma temperatura média de 26°C.

Horário de maré alta: 6:41am (0.7m).
Horários de maré baixa: 5:31am (0.7m) e 5:51pm (0.7m).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em São Sebastião (SP) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
As temperaturas máxima e mínima previstas também são de 24°C. O por do sol será às 6:54pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Praia Grande (SP) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:52pm - 2:52pm, mas por favor evite pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Vila Velha (ES) a previsão do tempo é de céu nublado, com uma temperatura média de 26°C.
A nebulosidade é de 0%, a umidade de 81% e a velocidade do vento de 27 km/h. Um bom dia para todos!


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Tibau do Sul (RN) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 27°C.
O melhor horário para pescar é 11:44am - 1:44pm, mas por favor evite pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Fortaleza (CE) é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 28°C.
As temperaturas máxima e mínima previstas também são de 28°C. O por do sol será às 5:52pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Recife (PE) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 27°C.
A nebulosidade é de 80%, a umidade de 71% e a velocidade do vento de 17 km/h. Desejo um bom dia para todos!


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Jaboatão dos Guararapes (PE) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 27°C.
O por do sol será às 5:44pm. Um bom dia para todos! 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Porto de Galinhas (PE) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 28°C e altura máxima do mar de aproximadamente 1.7m. Hoje não é um bom dia para pescar! 🐟


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Bertioga (SP) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
Atenção! A nebulosidade do céu hoje está mais elevada do que o normal (100%).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Macapá (AP) a previsão do tempo é de chuvas leves 🌦, com uma temperatura média de 27°C.
Com uma altura de maré máxima de 4.0m e condições desfavoráveis para pescar, o mar hoje não está para peixes! 🐟


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Praia Grande (SP) é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:52pm - 2:52pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Angra dos Reis (RJ) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 23°C.
O melhor horário para pescar é 12:42pm - 2:42pm! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Ponta Negra (RN) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 27°C.
A temperatura máxima prevista é de 29°C e a mínima de 27°C. O por do sol será às 5:42pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Paranaguá (PR) é de céu parcialmente nublado 𒛅, com uma temperatura média de 24°C.
A temperatura máxima prevista é de 25°C e a mínima de 24°C. O por do sol será às 7:10pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 3 embarcações no porto de Itapoá (SC). Além disso, é esperado que 3 embarcações entrem no porto ao longo dos próximos dias. 🛳

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje em Niterói (RJ) a previsão do tempo é de chuvas leves 🌦, com uma temperatura média de 24°C.
A temperatura máxima prevista é de 25°C e a mínima de 24°C. O por do sol será às 6:43pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foram detectadas 45 embarcações no porto de Paranaguá (PR) e 45 e estão agendadas para entrar no porto ao longo dos próximos dias. 🚢

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje em Santos (SP) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
Atenção! A nebulosidade do céu hoje está mais elevada do que o normal (100%).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, existem 36 embarcações no porto de Rio Grande (RS) nesse momento e 17 embarcações agendadas para entrar dentro dos próximos dias. 𒛴 Desejo um ótimo dia pra todos!

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Consulta de venda do Porto de Santos será aberta dia 20 de janeiro

Fonte: https://www.jornaldocomercio.com/_conteudo/cadernos/jc_logistica/2022/01/828298-consulta-de-venda-do-porto-de-santos-sera-aberta-dia-20-de-janeiro.html


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
"🤖 36 barragens estão em nível de alerta; 29 são da Vale

Fonte: https://veja.abril.com.br/economia/36-barragens-estao-em-nivel-de-alerta-29-sao-da-vale/


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
"🤖 Neve com brilho azul no Ártico intriga, mas cientistas explicam fenômeno

Fonte: https://noticias.uol.com.br/internacional/ultimas-noticias/2022/01/11/neve-que-brilha-e-encontrada-no-artico.htm


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
🤖 dentro de condições que assegurem a preservação do meio ambiente, inclusive quanto ao uso dos recursos naturais. ” Hoje comentamos a decadência do litoral brasileiro, um patrimônio ao deus-dará.;marsemfim;11/01/2022
🤖 ecológico e científico. ” Tem mais. O artigo 225, parágrafo 4º, determina: “A Floresta Amazônica brasileira, a Mata Atlântica, a Serra do Mar, o Pantanal Mato-Grossense e a Zona Costeira são patrimônio nacional, e sua utilização far-se-á, na forma da lei, 💬;marsemfim;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, existem 17 embarcações no porto de Suape (PE) nesse momento e 22 embarcações agendadas para entrar dentro dos próximos dias. 🛳 Desejo um ótimo dia pra todos!

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
🤖 portadores de referência à identidade, à memória dos diferentes grupos formadores da sociedade brasileira, nos quais se incluem…”E em seu inciso V, “os conjuntos urbanos e sítios de valor histórico, paisagístico, artístico, arqueológico, paleontológico, 💬;marsemfim;11/01/2022
🤖 A decadência do litoral brasileiro, um patrimônio ao deus-dará. O artigo 216 da Constituição Federal estabelece que “Constituem patrimônio cultural brasileiro os bens de natureza material e imaterial, tomados individualmente ou em conjunto, 💬;marsemfim;11/01/2022
"🤖 A decadência do litoral brasileiro, patrimônio ao deus-dará

Fonte: https://marsemfim.com.br/a-decadencia-do-litoral-brasileiro-patrimonio-ao-deus-dara/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
🤖 Sei… De vez em quando ainda aparece nova autoridade embalada em fracassos seguidos que insiste: ‘o Brasil vai surpreender o mundo’. já não surpreendemos o suficiente? O assunto de hoje são os lixões e a omissão, um grave problema ambiental.;marsemfim;11/01/2022
🤖 e leis que ‘não pegam’. Não conheço outro lugar onde este anacronismo ainda acontece. E assim vai se cristalizando o País do futuro. A gente nasce, envelhece, ouvindo a ladainha: o País do futuro. 💬;marsemfim;11/01/2022
🤖 Os lixões e a omissão, um grave problema ambiental. O Brasil é um país pra lá de curioso. Dá um passo pra frente, um pro lado, outro pra trás, para só depois prosseguir no avanço, sempre a passos de cágado. Aqui há outra curiosidade típica: leis que ‘pegam’, 💬;marsemfim;11/01/2022
"🤖 Os lixões e a omissão, um grave problema ambiental

Fonte: https://marsemfim.com.br/os-lixoes-e-a-omissao-um-grave-problema-ambiental/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
🤖 Acontece que este colosso está se tornando o novo Vale da Morte de São Paulo.;marsemfim;11/01/2022
🤖 tornando-o um dos maiores complexos industriais do Brasil. Em 2014 o faturamento foi de nada menos que R$ 8, 6 bilhões, e o Valor Adicionado Fiscal de R$ 2, 2 bilhões, além de gerar 10 mil empregos formais, segundo o site abcdoabac. 💬;marsemfim;11/01/2022
🤖 Em 1972 veio a primeira petroquímica do País. Assim nascia o que agora conhecemos como Polo Petroquímico de Capuava. o polo é formado por diversas empresas que atuam na cadeia do setor como indústrias químicas, plásticas, engarrafadoras de gás, 💬;marsemfim;11/01/2022
🤖 Polo Petroquímico Capuava, o novo Vale da Morte em São Paulo? Em 1954 a inauguração de uma refinaria de petróleo  (Refinaria de Capuava – Recap) foi o início do complexo industrial que começava a ser erguido no Parque Capuava, em Santo André. 💬;marsemfim;11/01/2022
"🤖 Polo Petroquímico Capuava, o novo Vale da Morte em SP?

Fonte: https://marsemfim.com.br/polo-petroquimico-capuava-o-novo-vale-da-morte-em-sp/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
"🤖 Você sabia?
O Brasil contribuiu, em anos recentes, com pouco mais de 0,5% do total produzido no mundo pela pesca marítima, com uma produção próxima a 540 mil toneladas no ano de 2007.

11 de janeiro de 2022


#AmazôniaAzul 🌅
#redebotsdobem 🛰";curiosidades;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 118 embarcações no porto do Rio de Janeiro (RJ). Além disso, é esperado que 52 embarcações entrem no porto ao longo dos próximos dias. 𒛴

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje em Barreirinhas (MA) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 26°C.
A temperatura máxima prevista é de 27°C e a mínima de 26°C. O por do sol será às 6:05pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Florianópolis (SC) é de céu nublado 𒘁, com uma temperatura média de 23°C.

Horário de maré alta: 9:59am (0.5m) e 9:27pm (0.6m).
Horários de maré baixa: 5:13am (0.3m) e 5:29pm (0.3m).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Arraial do Cabo (RJ) a previsão do tempo é de céu parcialmente nublado 𒛅, com uma temperatura média de 24°C.
As temperaturas máxima e mínima previstas também são de 24°C. O por do sol será às 6:39pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Enseada (SP) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 23°C.
O melhor horário para pescar é 12:45pm - 2:45pm! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Jijoca de Jericoacoara (CE) a previsão do tempo é de chuvas leves 🌦, com uma temperatura média de 27°C e altura máxima do mar de aproximadamente 2.0m. Hoje não é um bom dia para pescar! 🐟


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Rio das Ostras (RJ) a previsão do tempo é de céu nublado, com uma temperatura média de 26°C.
A nebulosidade é de 74%, a umidade de 95% e a velocidade do vento de 17 km/h.


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Ilha Bela (SP) é de céu parcialmente nublado 𒛅, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:48pm - 2:48pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Porto Seguro (BA) é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 27°C.
As temperaturas máxima e mínima previstas também são de 27°C. O por do sol será às 6:15pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Cabo Frio (RJ) é de céu parcialmente nublado 𒛅, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:33pm - 2:33pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Peruíbe (SP) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 24°C.
As temperaturas máxima e mínima previstas também são de 24°C. O por do sol será às 6:59pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Aracaju (SE) é de céu parcialmente nublado 𒛅, com uma temperatura média de 27°C.
O melhor horário para pescar é 11:58am - 1:58pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Balneário Camboriu (SC) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
O melhor horário para pescar é 1:05pm - 3:05pm, mas por favor evite pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foram detectadas 4 embarcações no porto de Itapoá (SC) e 3 e estão agendadas para entrar no porto ao longo dos próximos dias. 

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 A previsão do tempo hoje em Guarujá (SP) é de céu nublado 𒘁, com uma temperatura média de 24°C.
As temperaturas máxima e mínima previstas também são de 24°C. O por do sol será às 6:58pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, existem 15 embarcações no porto de Suape (PE) nesse momento e 23 embarcações agendadas para entrar dentro dos próximos dias. 𒛴 Desejo um ótimo dia pra todos!

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje em Porto de Galinhas (PE) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 28°C e altura máxima do mar de aproximadamente 1.7m. Hoje não é um bom dia para pescar! 🐟


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foram detectadas 113 embarcações no porto do Rio de Janeiro (RJ) e 51 e estão agendadas para entrar no porto ao longo dos próximos dias. 𒛴

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foram detectadas 99 embarcações no porto de Santos (SP) e 147 e estão agendadas para entrar no porto ao longo dos próximos dias. 🛳

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 40 embarcações no porto de Rio Grande (RS). Além disso, é esperado que 18 embarcações entrem no porto ao longo dos próximos dias. 𒛴

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 A previsão do tempo hoje em Florianópolis (SC) é de céu nublado 𒘁, com uma temperatura média de 23°C.
A temperatura máxima prevista é de 24°C e a mínima de 23°C. O por do sol será às 7:15pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Niterói (RJ) a previsão do tempo é de céu parcialmente nublado 𒛅, com uma temperatura média de 25°C.
As temperaturas máxima e mínima previstas também são de 25°C. O por do sol será às 6:43pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Maceió (AL) é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 28°C.
O melhor horário para pescar é 11:51am - 1:51pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje no Rio de Janeiro (RJ) é de céu parcialmente nublado 𒛅, com uma temperatura média de 25°C.
As temperaturas máxima e mínima previstas também são de 25°C. O por do sol será às 6:43pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Parnaíba (PI) é de céu parcialmente nublado 𒛅, com uma temperatura média de 27°C.
O melhor horário para pescar é 12:09pm - 2:09pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Ubatuba (SP) é de céu nublado 𒘁, com uma temperatura média de 23°C.
O melhor horário para pescar é 12:45pm - 2:45pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Bom dia a todos, como estão vocês? :)
Hoje em Búzios (RJ) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:32pm - 2:32pm! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Macaé (RJ) a previsão do tempo é de céu nublado, com uma temperatura média de 26°C.
A umidade hoje está mais elevada do que o normal (95%).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Bertioga (SP) a previsão do tempo é de céu nublado 𒘁, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:51pm - 2:51pm! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em São Sebastião (SP) a previsão do tempo é de céu parcialmente nublado 𒛅, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:48pm - 2:48pm, mas por favor evite pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 16 embarcações no porto de Suape (PE). Além disso, é esperado que 24 embarcações entrem no porto ao longo dos próximos dias. 

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje em Ilhéus (BA) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 28°C.
O melhor horário para pescar é 12:11pm - 2:11pm, mas por favor evite pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 98 embarcações no porto de Santos (SP). Além disso, é esperado que 149 embarcações entrem no porto ao longo dos próximos dias. 𒛴

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 A previsão do tempo hoje em Paraty (RJ) é de céu nublado 𒘁, com uma temperatura média de 23°C.
As temperaturas máxima e mínima previstas também são de 23°C. O por do sol será às 6:51pm. 🌤


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, foi estimada uma quantidade de 113 embarcações no porto do Rio de Janeiro (RJ). Além disso, é esperado que 50 embarcações entrem no porto ao longo dos próximos dias. 

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, existem 45 embarcações no porto de Paranaguá (PR) nesse momento e 49 embarcações agendadas para entrar dentro dos próximos dias.  Desejo um ótimo dia pra todos!

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
"🤖 Hoje, dia 11 de janeiro de 2022, existem 39 embarcações no porto de Rio Grande (RS) nesse momento e 18 embarcações agendadas para entrar dentro dos próximos dias. 𒛴 Desejo um ótimo dia pra todos!

Fonte: MarineTraffic


#AmazôniaAzul 🌅
#redebotsdobem 🛰";imagens;11/01/2022
🤖 Hoje o assunto são as embarcações típicas e o turismo, algumas boas ideias.;marsemfim;11/01/2022
🤖 Elas são maravilhosas, pintadas em cores vibrantes, muitas ainda dependem da vela como propulsor principal. abandonam as velas, mas são movidas a remo. São bens culturais dos brasileiros, tombados pelo IPHAN, mas desconhecidos  da maioria da população. 💬;marsemfim;11/01/2022
🤖 dos preços mais em conta dos motores, ou até mesmo da infraestrutura ao longo de suas zonas costeiras. No Brasil, por uma série de razões, isto não aconteceu. Apesar dos avanços da infraestrutura na costa, as embarcações típicas persistem em navegar. 💬;marsemfim;11/01/2022
🤖 Embarcações típicas e o turismo, algumas boas ideias. Uma das maiores riquezas culturais do litoral do Brasil são as embarcações típicas. Nesta altura do século 21 em que estamos, a maioria dos países do mundo já perdeu o seu acervo, fruto da tecnologia, 💬;marsemfim;11/01/2022
"🤖 Embarcações típicas e o turismo, algumas boas ideias

Fonte: https://marsemfim.com.br/embarcacoes-tipicas-e-o-turismo-algumas-boas-ideias/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
🤖 margens de rios, Sul da Bahia, um presságio do novo normal.;marsemfim;11/01/2022
"🤖 24 pessoas morreram até o momento deste relato; quer maior prova que os eventos extremos são parte do ‘novo normal’? Como sói acontecer, os mais afetados são os mais pobres, aqueles que ocupam com a leniência das autoridades locais irregulares como encostas de morros, 💬";marsemfim;11/01/2022
🤖 8 bilhões até outubro, segundo dados do Ministério das Minas e Energia. Antes do ano se despedir, e na sequência da crise hídrica, outro evento extremo se abate desde novembro, desta vez sobre o sul da Bahia. Mais de meio milhão de vidas foram afetadas, 💬;marsemfim;11/01/2022
🤖 Sul da Bahia, um presságio do novo normal. São pouquíssimos os agentes públicos brasileiros que levam a sério o aquecimento global. Não bastou a crise hídrica cuja consequência mais grave, o racionamento, ficou para trás por um triz mas, mesmo assim nos custou R$ 16, 💬;marsemfim;11/01/2022
"🤖 Sul da Bahia, um presságio do novo normal

Fonte: https://marsemfim.com.br/sul-da-bahia-um-pressagio-do-novo-normal/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
🤖 que novidade seria esta? Foi o que pensamos ao ler as notícias. E olhe que as fontes eram confiáveis, The Guardian, na Europa, e Globo no Brasil. Orcas não atacam barcos, mas se incomodam com barulhos.;marsemfim;11/01/2022
🤖 Orcas não atacam barcos, mas se incomodam com a poluição sonora por nós introduzida nos oceanos. Notícias da Europa e do Brasil na mesma semana de setembro de 2020 davam conta de pretensos ataques de orcas a barcos. Cumé qui é? Orcas jamais atacaram barcos, 💬;marsemfim;11/01/2022
"🤖 Orcas não atacam barcos e não gostam de barulhos

Fonte: https://marsemfim.com.br/orcas-nao-atacam-barcos-e-nao-gostam-de-barulhos/


#AmazôniaAzul 🌅
#redebotsdobem 🛰

Resumo da publicação abaixo! 👇";marsemfim;11/01/2022
"🤖 'Nascemos de novo', diz sobrevivente que teve pernas fraturadas em Capitólio

Fonte: https://www.diariodaamazonia.com.br/nascemos-de-novo-diz-sobrevivente-que-teve-pernas-fraturadas-em-capitolio/


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
"🤖 Centenas de voos são cancelados em meio a avanço de covid-19 e gripe

Fonte: https://www.diariodaamazonia.com.br/centenas-de-voos-sao-cancelados-em-meio-a-avanco-de-covid-19-e-gripe/


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
"🤖 Concurso Amazul: Selecon será a banca do novo edital

Fonte: https://folhadirigida.com.br/concursos/noticias/amazonia-azul-tecnologias-de-defesa-amazul/concurso-amazul-2022-banca


#AmazôniaAzul 🌅
#redebotsdobem 🛰";noticias;11/01/2022
